Country,Year,Livability_Score,Lower_Bound,Upper_Bound,Latest_Score
Liberia,2024,0.598964424238514,0.589142927631028,0.6087227675930252,0.6010653949130047
Liberia,2025,0.6023499907981136,0.5832899420446463,0.6201467289348292,0.6010653949130047
Liberia,2026,0.6057263071758562,0.5765212553328838,0.6342525229511808,0.6010653949130047
Liberia,2027,0.609102623553599,0.5699332994078586,0.6485178556060132,0.6010653949130047
Libya,2023,0.44346045308070225,0.43798462230933394,0.44924253895794075,0.4599089071107492
Libya,2024,0.44094782650412134,0.43556336039530225,0.4464435188846603,0.4599089071107492
Libya,2025,0.4384283160191114,0.43257849551379984,0.44380887266059715,0.4599089071107492
Libya,2026,0.4359156894425305,0.429583911150039,0.44195961987147203,0.4599089071107492
Libya,2027,0.4334030628659496,0.42724193398777505,0.4393969058167145,0.4599089071107492
Liechtenstein,2023,0.8129521740997637,0.8060315516612738,0.8198825190170287,0.7940653270837945
Liechtenstein,2024,0.816948118490486,0.8059498233903505,0.8274088425140549,0.7940653270837945
Liechtenstein,2025,0.8209550106740595,0.8021038832284552,0.8376339237399472,0.7940653270837945
Liechtenstein,2026,0.8249509550647817,0.799317848383423,0.8494500867361935,0.7940653270837945
Liechtenstein,2027,0.8289468994555039,0.7935713575750378,0.8618541328643436,0.7940653270837945
Sri Lanka,2023,0.6918066698717282,0.6820033104989731,0.7016645396521984,0.6690609261281497
Sri Lanka,2024,0.6943154349840718,0.6845366058232204,0.7045401708584839,0.6690609261281497
Sri Lanka,2025,0.6968310734254902,0.6868439661153163,0.7074515213063127,0.6690609261281497
Sri Lanka,2026,0.6993398385378338,0.6875345845352473,0.7108105812086044,0.6690609261281497
Sri Lanka,2027,0.7018486036501773,0.6892352113342599,0.7148601871163197,0.6690609261281497
Lesotho,2023,0.46442058511752526,0.4585953221277592,0.4704241706488097,0.42854833153592353
Lesotho,2024,0.471632865028559,0.46268825175974515,0.4814507232465995,0.42854833153592353
Lesotho,2025,0.478864904610582,0.4633509775071104,0.49660917306927926,0.42854833153592353
Lesotho,2026,0.48607718452161575,0.46246148060851444,0.5126197777773804,0.42854833153592353
Lesotho,2027,0.4932894644326496,0.4604974603059399,0.530012110877781,0.42854833153592353
Lithuania,2023,0.7211409604566814,0.7113791212887411,0.7344904976162547,0.6734800168083156
Lithuania,2024,0.7296003814395529,0.6990975546522712,0.7702363995414725,0.6734800168083156
Lithuania,2025,0.7380829789182676,0.6780907936237377,0.8078148847897405,0.6734800168083156
Lithuania,2026,0.7465423999011388,0.6527570811905695,0.8506754555040436,0.6734800168083156
Lithuania,2027,0.7550018208840102,0.6255594368371433,0.902916886612995,0.6734800168083156
Luxembourg,2023,0.6908599930057719,0.685531397437557,0.6956902124535695,0.7117165499751698
Luxembourg,2024,0.6918465725359321,0.68320847756642,0.7013634948832365,0.7117165499751698
